a	the
mélyén	
feltételeknek	
mezőgazdasági	
körök	
fokos	
városában	
hajdani	of yore
ugyanígy	
tulajdonosi	
merev	rigid
cikke	
fiút	
beszámolót	
megújult	
vitatkozni	arguing
eszközei	
munkaügyi	
irányított	guided
gyakorlattal	
osztályban	classroom
leggyorsabb	Fastest
válaszoltak	
fenék	buttocks
munkanélküli	unemployed
nőknek	
különálló	separate
társa	companion
bevezetett	
legerősebb	powerful
hasonlóan	
szép	beautiful
ablakok	
hangulata	
kódokat	
alapjául	
készlet	stock
jutottam	
akarat	will
nyelvvizsga	language exam
kiválasztása	
elhanyagolt	
vízszintes	
megadása	
szabványos	
július	
anyagiak	
hozzászóláshoz	
vonalon	
megnövekedett	
struktúra	
udvar	court
regisztrálja	
moderátori	
egy	one
törlése	
életünket	
pont	point
liszt	flour
bármilyen	any
inni	to drink
fura	weird
felületet	
közvetett	indirect
októberben	
kritikai	
akit	
képei	Photos
évtizedben	
beszerezni	obtain
választása	
lehetőségük	
energia	power
lapra	
ezáltal	
fizetnek	pay
művelt	cultivated
elemet	items
lakók	residents
kulcs	key
kifejtette	
cigányok	
országában	
mostmár	now
vélik	
alkohol	
térbeli	
bírói	
ide	here
figyel	listen
gondolkodik	think
oldaladra	
szókincs	vocabulary
kuratórium	
alkotmánybíróság	
szobába	room
hozzájárulásával	
kezdik	
szolgáltatása	
egyidőben	
változatot	
nevével	
idejére	
szakszerű	
alkalmazásának	
kezet	
felügyeleti	surveillance
ragyogó	brilliant
között	between
messzire	
időpontjában	
látom	I see
használva	
felszíni	
Szolnok	Szolnok
kádár	
fogadó	inn
tudnánk	we could
megfigyelhető	
törpe	dwarf
miskolci	
viszonya	
segítette	helped
alacsony	low
sziget	island
indokolja	
fölösleges	
reneszánsz	
államigazgatási	
kerülne	
ezekben	these
beszélik	
végülis	after all
hegyi	mountain
ugyanabban	the same
rendje	
jellegét	
nőket	
vetette	
tanított	taught
évfordulója	
alkotta	
sárkány	dragon
történetek	Stories
megalapozott	
évtizede	
jóllehet	
elvesztette	lost
egészen	
májusban	
elkezd	begins
elsőként	
látogat	visit
szakadt	torn
erotikus	erotic
kíséri	accompanied by
elismerte	
logisztikai	
okán	
bár	bar
forgalmat	
amelyeken	
napirendi	
mennyei	
vonni	
bűncselekmény	crime
titka	The secret
állva	
evangélikus	Lutheran
törvényjavaslat	
alkotnak	
jelszóval	
professzor	
ismertté	
rendelkeznie	
társas	gregarious
takács	
automatikus	
távozott	leaving
felhívja	Draws
tea	
legkülönbözőbb	
felújítása	
érez	feel
teszek	
élen	
elhelyezése	
tagjaként	
fölötti	
akciók	
kapcsolni	switch
befolyásolják	
hirdeti	
folyamata	
székely	
tulajdon	property
szerkesztette	
pápai	
forrást	
fenntartja	
jogviszony	
kever	mix
szívében	heart
döntéseket	choices
igazi	real
megfelelnek	
ábrán	
tágas	
eléréséhez	
haladva	
ajánlati	
választod	
odáig	so far
hangulatát	atmosphere
nyomorult	
használtak	
tekint	look
rögzíteni	
bonyolultabb	
indította	
étkezési	
legizgalmasabb	
kaphatnak	
festő	painter
kialakulásának	
folytatás	sequel
haladja	
jelentkezés	
vélt	
boltban	
lelket	soul
tisztelet	reverence
tévé	camel
elkerülhetetlen	inevitable
cégnek	
érthetetlen	incomprehensible
segítségére	
korona	crown
gumi	gum
tudó	scientists
módosítását	
veszed	
buta	silly
végbe	
hívnak	called
alakulnak	
elnézést	excuse me
felsőoktatás	
indulás	departure
gépeket	
szabadságharc	War of Independence
előadók	
híre	news
kis	little
kivel	
halkan	softly
haladéktalanul	
szokások	
értelemszerűen	
fakad	
túlzottan	
találok	
előadása	Presentation
telepítése	
szakszervezetek	
vén	old
egymillió	
hanggal	with sound
ágyas	
információért	
érzelmek	Emotions
könyvét	
finanszírozott	
értelmezni	
belépő	admission
sem	neither
rendezték	
érdeklődését	
sikertelen	failed
segítőkész	helpful
megnézem	watch
kölcsönösen	
tanítani	to teach
segíthet	
játssza	
ülő	
május	May
kiterjedt	
ezekről	
éhes	hungry
elnökét	
emberben	
mondhatom	I can tell you
korom	soot
névvel	name
mennyiségi	quantitative
középpontjában	
szerinte	according to him
ismertek	
tradicionális	traditional
beszédet	speech
Csongrád	
landol	lands
órája	
találkozót	appointment
rendeznek	held
elősegítése	Promoting
szabad	free
alkalmazza	
csökkenő	
úgymond	
műholdas	
ellenállás	
lelkem	
jelentkeznek	
nyugat	West
veszteség	
letöltése	
kollokvium	Colloquium
amerikai	American
helyenként	places
közép	middle
ágyban	bed
összefüggés	context
asszonyok	
kapjon	
kövér	fat
funkciója	
elavult	obsolete
szigeten	
vezetési	
gyorsan	fast
magáért	
újszerű	
kapcsolva	
békét	peace
szerződéses	
lássuk	
turisták	Tourists
csinálok	
használd	Use
közérdekű	
ismertetett	
előnyei	Benefits
váljon	
vasút	
aláírt	signed
óriási	giant
délre	
szabadtéri	
tartózkodik	staying
karácsony	Christmas
százezer	lakh
megnéztem	
hangsúlyozza	
régi	old
mérés	
középen	
születtem	I was born
konferencia	conference
tűnnek	
tervező	designer
laboratóriumi	
egy	one
tárolása	
ágazati	
hagyták	
követelményeinek	
fórumot	
többre	
töltse	
alakulása	
átvette	
fene	hell
engedéllyel	
kösz	thanks
bolt	store
utóbbit	
találkoznak	meet
megáll	stop
kellenek	
vezetőjének	
vásárló	customer
igyekszem	I try
fejléc	
akarata	
kertész	gardener
eseménye	
mutattak	
megszólal	sounds
jellemzője	feature
bizottságok	
tanácsokat	
országa	
férfi	man
melyhez	
választhat	
igényli	
rögzíti	
találhatóak	
növelte	increased
célunk	
találkozás	
kezelést	
futás	
szövegét	
gyakorlat	practice
jegy	ticket
doktor	doctor
kitűzött	
jelzik	
szélessávú	broadband
kedves	Dear
középkorban	
produkció	
mérnök	engineer
tárgyalásokat	
rendezése	
motort	engine
sajna	unfortunately
szocialisták	
csúcs	apex
urunk	
tíz	ten
módjára	
elmegyek	I go
nyilvánosan	
egyikük	
dolgokról	
átmenetileg	
támadást	attack
egyenletes	even
húzni	Pull
válaszolok	
típusa	Type
ilyeneket	like that
szemle	
méltán	worthily
kellemes	pleasant
veheti	
melyeknek	
csatornák	
főnök	boss
kilométerre	
legenda	
kezdetben	
régészeti	
bárminemű	
megőrzése	
sokoldalú	versatile
adminisztratív	
múltkor	
kapcsolatát	
adatainak	
közepe	the middle
később	later
szauna	
választásokon	
katasztrófa	
jogvédelem	
vendégeket	
tulajdonosai	
országból	
fideszes	
legyőzte	
ifjúság	
eladott	sold
heves	intense
fájlokat	
szolgáltatásait	
néma	dumb
részlet	installment
Benedek	
örömét	
kedvencem	my favorites
alább	below
lények	
elemeit	
szerek	products
példák	Examples
emlékszik	remember
rendszerre	
juthat	
alkalmaznak	
munkások	
láttunk	we saw
márpedig	
partnere	Partner
kérnek	
megkezdése	commencement
értékelni	appreciate
kel	cabbage
egyszersmind	
fordítása	
mára	
rendelkezéseit	
jöhetett	
forduljon	contact
előfordult	
rádiós	
próbáld	
csupán	only
parkoló	
küldjük	sent
valahogy	
ajánlja	
segg	ass
várva	
vonult	
tojást	
következtetésre	conclusion
kérdéssel	
javítását	
támogat	support
jövőbeli	
rendjét	
végrehajtott	
sejtek	
állítólag	supposedly
forintba	
oktatói	
háta	backs
amióta	since
ezeken	these
jelöltek	
benne	in it
szabályozása	
megfelelni	meet
szülés	birth
alkotmány	constitution
örül	be happy
fordulat	turn
várom	look forward
belépett	entered
építették	
feleségét	
találtunk	found
cégnél	
unióhoz	
nevem	
halak	Fish
megvenni	buy
meccsen	
áldozatot	
valamennyien	
hall	hear
neki	him
nagyobb	
feleség	wife
kérik	
övé	
fizikailag	
beállítani	
ugyanilyen	same
nyoma	
jelszavát	
ital	beverage
kiinduló	
formátum	
kapcsolódnak	
hogy	that
szél	wind
végzettség	Education
próbálni	Try It
válás	divorce
precíz	precise
magamban	
folytató	
nyomja	
kézben	
nézek	
hozzájárulása	
küldd	Send
rendelni	assigned
felhívta	called
fejléceit	
jövőbeni	
eszerint	
szállítással	
panel	
olcsóbban	
előtt	before
munkás	working
halálát	
jönne	
nyomban	
sláger	
féléves	
kizárt	
javult	improved
csillogó	shining
mellettem	me
semmivel	nothing
húst	
hollywoodi	
eszközzel	
királynő	
rovatban	
barátság	friendship
végeztem	finished
csinálta	did
válna	
mester	master
kétségbe	
koncerten	
helyzetéről	
biztonságban	safe
színre	
célul	
munkanélküliek	
kiválasztani	choose
szereplői	
rokon	kin
erőforrás	
szimbolikus	
együttese	
manapság	these days
lapban	
éjszakát	Nights
megválasztott	
képvisel	represent
tehetünk	
költségei	
megjelenítésére	
hitet	
környezetbarát	
számítástechnika	Computing
imagekhez	
mindegy	all the same
kerestetik	
fűződik	
kártyák	Cards
elejére	
építkezés	building
összehasonlító	comparative
tartomány	
hűséges	faithful
körökben	
jelentették	
mégegyszer	once more
miből	
tartózkodás	
szakasza	
panaszos	complainant
megteszi	
elméletileg	theory
végezték	
kérték	
hírei	
közalkalmazotti	
nevezünk	
téged	you
tábornok	general
szervezetnek	organizations
ajtón	
várakozás	
országaiban	
jegyek	
szeretete	love
érvényesek	
földön	
igazolt	
témakörben	
tejet	
színpad	
magyarázata	
órákon	
jóváhagyott	
hús	meat
fejedelem	
építő	building
díszes	
válasszon	choose
pontján	
töltöttem	
tervezték	
használunk	
tanácsok	
kiadását	
elmondható	
csinálják	
dolgokra	
tervezet	
szavazatot	
fejére	
kitöltve	
gyakorlata	
minden	all
éljen	Long live
adatbázisban	
szerző	author
részesül	
kastély	mansion
multinacionális	Multinational
Orbán	Orban
maradok	stay
használtam	
érdeklődést	interest
idézet	
édesapja	
szedni	
feltett	
tájékoztatása	
kinek	everyone
védekezés	
munkákat	
viselkedés	behavior
okoznak	
művelet	
lakos	inhabitant
értékelve	
tágabb	
újságot	
felvilágosítást	
felhasználásuk	
magadnak	yourself
gépi	
szerencsém	
kiegészítve	
nálam	I have
mondotta	
leszámítva	
felhasználót	
műveletek	
januárban	in January
hívei	
kívánom	I would like to
utóbbiak	
fejlődést	
ameddig	as long as
rendszertelenül	
kezdeményezésére	
alkotni	
megközelítés	approach
zenész	musician
tessék	Pardon
kollégium	dorm
részből	
fogyasztása	
mindennap	every day
terem	hall
kihasználva	
rajz	drawing
vélem	I
valamire	something
láttam	I saw
közelébe	
küldöm	I will send
norvég	Norwegian
érezhető	
lapunknak	
irodában	
körülmény	circumstance
felügyelete	
kerestem	I was looking for
létét	
valóságot	
elképzelések	
tekintet	
áram	power
Gáspár	
felelni	meet
alkalmazottak	
ugyebár	
magánszemélyek	
leírást	
rendeztek	
legalacsonyabb	
belga	Belgian
legnehezebb	
uhu	
keressük	search
megtörténik	
fájdalmat	
követhető	
végezhető	
irányadó	
állatot	
napját	
valamennyi	all
menüpontra	
korig	
tendencia	
számba	inventory
mérsékelt	
megkezdte	
láttán	
sír	grave
fontosságú	
említi	
bizonyíték	
akadálya	
előny	benefit
angyal	angel
nyugszik	
lehettek	
születése	Birth
postán	
egyének	
hajók	ships
reagál	
falvak	
megtartani	hold
ellátva	
megadja	
általi	
tudományok	
blokk	Block
írni	write
ösztöndíj	
röviden	short
tok	capsule
forog	
nyitja	opens
belátható	
kétszáz	two-hundred
beszéltek	
ítélték	
Krisztina	Krisztina
növekedését	
környezetében	
anyagilag	financially
nálad	
tevő	
kevesebben	
hibátlan	
formátumú	
mészáros	butcher
kövesd	
szólj	speak
elfelejtettem	
istenhez	
részesülnek	
kijön	come out
nyomozás	
direkt	Direct
lépnie	
értelmi	
életnek	
gazdálkodási	Management
vizsgák	Exams
társadalmat	
tekintélyes	stately
becsületes	honest
tegyék	
szerepeltek	
László	Laszlo
rétegek	
szörny	monster
vezettek	
megszüntetése	
szemű	eyed
stúdió	
valósult	
jövőre	next year
ebbe	in this
előzőleg	
címedet	
sötétség	
infó	
alakuló	
váltotta	
kilométeres	
küldjön	
bizonyára	surely
producer	
gépkocsi	
híven	
kezem	I have
java	java
állampolgári	Citizens
kevés	few
helyszíne	
esnek	
vettél	Did you
előterjesztést	
kell	must
bemutatkozó	
városokban	
parton	
otthonában	
magából	
témákban	
szavát	
hátterében	
egyezmény	
ülések	
kapcsolt	connected
sík	
kapcsolható	
gondom	
bőséges	
vereséget	
irányában	towards
sorában	
határideje	
javítására	
elviselni	bear
hirdetési	
folytatódott	
problémával	
szerződés	agreement
értékeit	values
márciusában	
helyiség	
területfejlesztési	
hidd	Believe
tanácsa	council
kémia	chemistry
nekem	me
stílust	
kérdés	issue
édesanyja	
kimagasló	
értékének	
unióban	
vesztette	lost
fogyasztási	
elhanyagolható	
kötetben	
áldozata	
elvitte	took
bejelentést	
államnak	
hosszas	
augusztusban	in August
tojás	egg
nyomtatás	printing
örökös	heir
megbízásából	
befogadó	recipient
brazil	Brazilian
beszélgetést	interview
előtted	in front of
moziban	
garantálja	
sötétben	
időszakot	
programjának	
szerelme	love
vezérlő	
vezetést	
természetben	
bemutatására	
átadott	
sőt	moreover
cégünk	
kiemelte	
partnereink	
tulajdonságait	
képviselt	
mert	because
szabványok	
palesztin	
összegyűjteni	
kiadást	
fizeti	
bővül	expanding
megkérdezni	
készítette	created
évesek	
decemberben	
zárójelben	in parentheses
sikereket	
szorult	
kerüljenek	
védeni	Protect
sérülés	injury
pert	lawsuit
nagyméretű	
november	November
vendége	guest
mechanikai	mechanical
veszett	lost
felhasználásra	
gyümölcs	
elhagyta	leaving
progi	
mérni	
tény	fact
halljuk	
küldés	
kötődik	bound
vizek	
mondanám	say
eltöltött	
szeretem	love
előkelő	noble
úgy	so
zárult	
paraszt	peasant
feladatra	
ülnek	
évenként	
srácok	
januárjában	
tanulásra	
mindegyik	all
készítették	
jusson	
funkcióval	
üzemel	operate
menekült	refugee
nevetséges	ridiculous
kihívást	challenge
munkáltatói	Employer
menüpont	
megjelenítéséhez	
határozta	
osztott	
varázslatos	enchanting
augusztus	August
sorát	
kultúrát	
mindnyájan	
mindazok	
játékokat	
gondolunk	think about it
oroszok	
elnökségi	
veszélyezteti	
évekkel	
felfogás	perception
órai	
kialakításában	
amikor	when
uniós	
lírai	lyric
valamelyest	
teljesség	wholeness
paraméterek	
lőtt	
lámpa	light
rendelhető	
sebességet	
figyelemre	
alighanem	
cselekvés	
szándékát	
fellelhető	
vont	
címén	
véleményem	in my opinion,
jogú	
koromban	
szerinted	think
délután	afternoon
napjaink	
skót	Scottish
híve	
valóra	reality
előírásoknak	
foglalkozások	
kegyelem	grace
bízom	I trust
jótékony	beneficent
fejlesztésének	
büdös	smelly
gyönyörű	beautiful
idő	time
dráma	drama
üzletet	business
éltem	
fordulni	
arcán	
alapította	founded
szervezeteket	
hajlamos	prone to
kiváltó	
védelmében	
megtalálod	
eközben	
nyelvre	
vettünk	
normatív	
dolgozói	
költészet	
lehetőségünk	
művét	
ajánlotta	recommended
jártál	
sérti	
igyekeztek	
születésnapját	
meghaladta	
javítja	
más	other
hajlandóak	
tárgyát	
nemet	currency
elemző	analyst
sziasztok	Hi
menetét	
jókat	Ships
Mózes	Moses
busz	
mobiltelefonok	Mobile phones
gyereknek	
bírom	I can
alkotása	
volta	was the
kapjuk	
jórészt	
megbízást	
igazán	really
foglalta	occupied
végezzük	
patak	creek
kifejezett	
szeretetet	
olvasott	
technikát	
elősegíti	help
vasárnap	Sunday
megpróbál	try
megjegyezni	remember
néhol	
Londonban	London
lezárt	closed
alakított	
logók	Logos
jellemzők	Features
feleségül	
melléklete	
kívánó	
májusában	
haja	
frank	
kísérő	
társadalombiztosítási	
étkezés	meal
utalnak	
orvoshoz	
érzésem	
akkor	then
szerkesztés	
feküdt	lying
szervezetekkel	
munkálatok	
hálás	grateful
meglepően	surprisingly
vonatkozásban	
igényét	
errefelé	
utazott	
őrzött	
nyugalom	tranquility
megadva	
szervezni	
június	June
sebességű	
megoldását	
fertőzött	infected
csatolni	
kereskedők	Dealers
ütközik	conflict
férjem	My husband
duma	spiel
foglaló	reservation
mindössze	
eljutni	reach
mennem	I have to go
apostol	
terveket	
hangulatban	
gyűjtött	
mégse	
egyezmény	
akadnak	
felbontás	
szakemberei	
díjakat	
születési	Birth
angyalok	Angels
vásárlási	
leírását	
halk	quiet
hirtelen	suddenly
épülnek	
ügyesen	ably
pótolni	
dologról	things
ajándékot	Gift
törvényeket	
olvasta	read
riasztó	alarm
küldhetsz	post
ideiglenesen	
versenyeken	
bekövetkező	
csodás	wonderful
tájékoztatja	
hírlevelek	
kori	Ages
ismeretekkel	
hirdetett	
eleinte	
aláírást	
tizenegy	eleven
regisztrálhatja	
amennyiben	inasmuch
multimédia	multimedia
üzenetére	
paranccsal	
félévében	
hátteret	
kétséges	
kezdődően	
csepp	drop
március	March
millió	million
egyesületek	
központok	
gyakorolni	to practice
erejű	
istentől	
posta	
politikát	
újságok	newspapers
hiányoznak	missing
arccal	
micsoda	
eközben	
érzést	
esete	
ügyészség	
üzenete	
ülve	
mondtak	
íme	lo
elkezdte	started
feladatainak	
énekel	sing
hagyd	let
nyújthat	
feléd	
megjelenési	
fordította	
olasz	Italian
Jakab	James
totál	
módra	
egységesen	
jegyzőkönyv	protocol
alkalmazására	
szögletes	square
szolgáltatásokkal	
bizottságának	
jelenteni	
formális	
módban	
fogalmaz	formulates
titkára	
gárda	
hívek	
felkészült	
mindazokat	
jelentések	
exkluzív	exclusive
nemrég	
rendezvényt	
kaliforniai	
eséllyel	
zöld	green
kínálat	supply
konfliktus	
értjük	understand
protestáns	
elemzők	
hasznot	
weboldalon	
katona	soldier
elnökség	
kivételesen	exceptionally
követték	
feltenni	ask
írtad	
biztosítás	insurance
tagját	
lezárása	
látszó	
határozati	
fóruma	
határán	
különböző	different
úrnak	
németországi	
alakban	
engedte	
épülete	
környéke	Surroundings
területein	
rendeletet	
kitalálni	figure out
gondolkodó	
városnak	
kifejezések	Expressions
tizedik	tenth
jogosultságokat	
csalódás	disappointment
zenészek	Musicians
ismerünk	
imént	just
ígért	
megtanulni	
labdarúgó	footballer
keddi	
szövetségének	
elhelyezkedő	
császári	
indítanak	
rendezésében	
viselt	wearing
változtatás	
fennmaradó	
dolgom	
előnyeit	
érzékelhető	
egyéb	other
megpróbálom	
bírta	
dolgunk	
októberi	
azokhoz	
tiszt	officer
előfizető	
nevének	
távolságra	
külföldiek	
panasz	complaint
estére	evening
először	first
állhat	
szezonban	
büszkén	
üresen	
erejével	
megkérdezi	
eredményre	
meredek	
gondolták	
kisváros	
esetlegesen	
csapatban	
előrejelzés	forecast
elkerülni	avoid
művészeti	artistic
elfoglalt	busy
hetek	I
törölheti	
meglátjuk	
legmegfelelőbb	
hatásai	
megadásával	
bizonyosan	assuredly
képpel	
rovására	
értékesítése	
magam	I
önök	you
jócskán	
egyidejű	
mindazonáltal	
menedzser	manager
képez	
illeszkedik	
keretet	
megtartása	
közép	middle
európai	
teljes	complete
munkái	works
mindazon	all
rohadt	damn
végrehajtási	
hangsúlyozni	
kombinált	
jelezni	reported
tulajdonos	
létesítmény	facility
magyarázni	explain
fórumra	
képességét	
dolgát	
beszerzési	
értesíti	
emlékeztető	reminder
